animal	sex	tx	bleed_day	weight_day	weight_g	delta
116333.4	F	mock	10	3	20.1	0.02030456852791884
116333.4	F	mock	10	4	20.6	0.04568527918781728
116333.4	F	mock	10	5	20	0.01522842639593902
116333.4	F	mock	10	10	19.9	0.01015228426395942
116333.5	F	mock	10	1	19.5	0
116333.5	F	mock	10	2	19.8	0.01538461538461533
116333.5	F	mock	10	3	19.8	0.01538461538461533
116333.5	F	mock	10	4	19.8	0.01538461538461533
116333.5	F	mock	10	5	20.2	0.03589743589743577
116333.5	F	mock	10	10	19.4	-0.00512820512820522
116334.1	F	mino	10	1	20.6	0
116334.1	F	mino	10	2	20.1	-0.02427184466019416
116334.1	F	mino	10	3	20.1	-0.02427184466019416
116334.1	F	mino	10	4	20.4	-0.00970873786407777
116334.1	F	mino	10	5	20.4	-0.00970873786407777
116334.1	F	mino	10	6	20.3	-0.01456310679611649
116334.1	F	mino	10	7	20.7	0.00485436893203883
116334.1	F	mino	10	10	20.3	-0.01456310679611649
116334.2	F	mino	10	1	21.9	0
116334.2	F	mino	10	2	21.6	-0.01369863013698613
116334.2	F	mino	10	3	21.5	-0.01826484018264829
116334.2	F	mino	10	4	22.4	0.02283105022831044
116334.2	F	mino	10	5	22.2	0.01369863013698635
116334.2	F	mino	10	6	22.2	0.01369863013698635
116334.2	F	mino	10	7	21.6	-0.01369863013698613
116334.2	F	mino	10	10	21	-0.04109589041095884
116334.3	F	mino	10	1	20.6	0
116334.3	F	mino	10	2	20.2	-0.01941747572815544
116334.3	F	mino	10	3	21	0.01941747572815533
116334.3	F	mino	10	4	20.7	0.00485436893203883
116334.3	F	mino	10	5	20.9	0.01456310679611627
116334.3	F	mino	10	6	20.1	-0.02427184466019416
116334.3	F	mino	10	7	19.5	-0.05339805825242727
116334.3	F	mino	10	10	18.7	-0.09223300970873792
116334.4	F	mino	10	1	19.5	0
116334.4	F	mino	10	2	19.9	0.02051282051282044
116334.4	F	mino	10	3	20	0.02564102564102555
116334.4	F	mino	10	4	19.9	0.02051282051282044
116334.4	F	mino	10	5	20.1	0.03076923076923088
116334.4	F	mino	10	6	19.9	0.02051282051282044
116334.4	F	mino	10	7	19.4	-0.00512820512820522
116334.4	F	mino	10	10	19.5	0
116334.5	F	mino	10	1	23.5	0
116334.5	F	mino	10	2	21.9	-0.06808510638297882
116334.5	F	mino	10	3	22	-0.06382978723404253
116334.5	F	mino	10	4	22.4	-0.04680851063829794
116334.5	F	mino	10	5	21.8	-0.07234042553191489
116334.5	F	mino	10	6	21.6	-0.08085106382978713
116334.5	F	mino	10	7	20.8	-0.11489361702127654
116334.5	F	mino	10	10	20.5	-0.12765957446808507
116335.1	F	mino	10	1	20.8	0
116335.1	F	mino	10	2	20.4	-0.01923076923076938
116335.1	F	mino	10	3	20.8	0
116335.1	F	mino	10	4	20.8	0
116335.1	F	mino	10	5	19.8	-0.04807692307692313
116335.1	F	mino	10	6	20.6	-0.00961538461538458
116335.1	F	mino	10	7	20.2	-0.02884615384615396
