gene	base_mean	l2fc	lfc_se	stat	pvalue	padj
Tbc1d23	17.904919022796392	-0.00698902439180438	0.2815828035399182	-0.02482049437658074	0.9801981439447828	1
Tbc1d25	6.866179843549901	-0.08260121296011137	0.47137191364270253	-0.1752357545484194	0.8608943909092571	1
Tbc1d2b	5.277213187162589	0.13002743290404167	0.5311974000251048	0.2447817570227122	0.806625420066107	1
Tbc1d31	2.27215385807241	-0.5596747666631979	0.927232415116667	-0.60359706750845	0.5461115629520239	1
Tbc1d32	1.4510917550606093	-0.23432305982304164	1.160756493956762	-0.2018709876214314	0.840017583637765	1
Tbc1d4	2.9730890202236977	0.4011678381624338	0.7327408351097895	0.5474893972605268	0.5840425527671367	1
Tbc1d5	12.17990766150742	0.11188521053309328	0.33769535089261565	0.3313199611346496	0.7404028151769244	1
Tbc1d8	8.344602619049168	0.26196876881815045	0.4360558901587137	0.600768788429392	0.5479939952628206	1
Tbccd1	12.341828271153345	0.23031064346433971	0.3352629960543126	0.6869551551314939	0.4921109884630101	1
Tbck	4.156299650734175	0.10152481786793816	0.6092039533741521	0.16665160707777796	0.8676441848738177	1
Tbk1	18.88266882353517	0.05339229662497002	0.27499086675149864	0.19416025432298853	0.8460504030591943	1
Tbl1x	15.96100147058062	0.08644950640348974	0.2939317126157397	0.2941142540699791	0.7686705991777021	1
Tbl1xr1	13.79916980339901	-0.04967085509606683	0.32133147605390516	-0.15457824333316875	0.8771538231152551	1
Tbl2	13.697353277843234	0.06709367617147587	0.3184816175936027	0.21066734299588524	0.833146859201185	1
Tbp	10.843328981660797	0.3067686548608442	0.3549893658567062	0.8641629422349327	0.3874983863126813	1
Tbx1	1.4696626689950691	-0.6077105674749312	1.221344385311626	-0.4975751104958605	0.618783550314624	1
Tbxa2r	2.8509630406394906	-1.1178973448336744	0.8725217904160723	-1.2812257036017312	0.2001144003384395	1
Tbxas1	3.1576356014844533	-1.576027653607912	0.9136502674677356	-1.7249791410623838	0.08453123168014909	1
Tcaim	8.095551054942213	-0.06434741306125379	0.4266622239219936	-0.1508158197596101	0.8801210066460359	1
Tcea3	1.020165407937396	0.00142911102950839	1.6453659137635432	8.685673001694205e-4	0.9993069836483128	1
Tceal1	9.1519822467483	0.0388424461071772	0.3953616327892407	0.09824536041382478	0.9217374642576404	1
Tceal7	1.6249243055412044	-0.01728825961091298	1.0622230120342049	-0.01627554610947957	0.9870145663357568	1
Tceanc2	8.799978974535689	0.08553566239683275	0.40491187489117714	0.21124513184460456	0.8326959951500635	1
